Tên trường,Liên kết
Đại Học Công Nghệ Sài Gòn,/diem-chuan/dai-hoc-cong-nghe-sai-gon-DSG.html
Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,/diem-chuan/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang-DSK.html
Phân hiệu Đại học Thái Nguyên tại Hà Giang,/diem-chuan/phan-hieu-dai-hoc-thai-nguyen-tai-ha-giang-DTG.html
Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai,/diem-chuan/phan-hieu-dai-hoc-thai-nguyen-tai-lao-cai-DTP.html
Đại Học Kinh tế công nghệ Thái Nguyên,/diem-chuan/dai-hoc-kinh-te-cong-nghe-thai-nguyen-DVB.html
Đại Học Văn Hiến,/diem-chuan/dai-hoc-van-hien-DVH.html
Đại Học Văn Lang,/diem-chuan/dai-hoc-van-lang-DVL.html
Đại Học Trưng Vương,/diem-chuan/dai-hoc-trung-vuong-DVP.html
Đại Học Yersin Đà Lạt,/diem-chuan/dai-hoc-yersin-da-lat-DYD.html
Đại Học Quốc Tế Miền Đông,/diem-chuan/dai-hoc-quoc-te-mien-dong-EIU.html
Đại Học Hòa Bình,/diem-chuan/dai-hoc-hoa-binh-ETU.html
Đại Học FPT,/diem-chuan/dai-hoc-fpt-FPT.html
Đại Học Gia Định,/diem-chuan/dai-hoc-gia-dinh-GDU.html
Đại học Công nghệ Giao thông vận tải,/diem-chuan/dai-hoc-cong-nghe-giao-thong-van-tai-GTA.html
Học Viện Chính Trị Công An Nhân Dân,/diem-chuan/hoc-vien-chinh-tri-cong-an-nhan-dan-HCA.html
Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Bắc),/diem-chuan/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-bac-HCB.html
Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Nam),/diem-chuan/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-nam-HCN.html
Đại Học Hà Tĩnh,/diem-chuan/dai-hoc-ha-tinh-HHT.html
Đại Học Hạ Long,/diem-chuan/dai-hoc-ha-long-HLU.html
Học Viện Phụ Nữ Việt Nam,/diem-chuan/hoc-vien-phu-nu-viet-nam-HPN.html
Đại học Quản lý và Công nghệ Hải Phòng,/diem-chuan/dai-hoc-quan-ly-va-cong-nghe-hai-phong-HPU.html
Học viện Tòa án,/diem-chuan/hoc-vien-toa-an-HTA.html
Học Viện Thanh Thiếu Niên Việt Nam,/diem-chuan/hoc-vien-thanh-thieu-nien-viet-nam-HTN.html
Học viện cán bộ TPHCM,/diem-chuan/hoc-vien-can-bo-tphcm-HVC.html
Học Viện Dân Tộc,/diem-chuan/hoc-vien-dan-toc-HVD.html
Học Viện Nông Nghiệp Việt Nam,/diem-chuan/hoc-vien-nong-nghiep-viet-nam-HVN.html
Đại Học Khoa Học Và Công Nghệ Hà Nội,/diem-chuan/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi-KCN.html
Trường Sĩ Quan Không Quân - Hệ Cao đẳng,/diem-chuan/truong-si-quan-khong-quan-he-cao-dang-KGC.html
Đại học Kinh Tế TPHCM - Phân hiệu Vĩnh Long,/diem-chuan/dai-hoc-kinh-te-tphcm-phan-hieu-vinh-long-KSV.html
Đại Học Kiến Trúc Đà Nẵng,/diem-chuan/dai-hoc-kien-truc-da-nang-KTD.html
Đại học Nguyễn Huệ,/diem-chuan/dai-hoc-nguyen-hue-LBS.html
Học viện Thiết kế và Thời trang London Hà Nội,/diem-chuan/hoc-vien-thiet-ke-va-thoi-trang-london-ha-noi-LCDF.html
Phân hiệu Đại học Lâm nghiệp tỉnh Gia Lai,/diem-chuan/phan-hieu-dai-hoc-lam-nghiep-tinh-gia-lai-LNA.html
Đại học Công nghệ Miền Đông,/diem-chuan/dai-hoc-cong-nghe-mien-dong-MIT.html
Học Viện Ngân Hàng (Phân Viện Bắc Ninh),/diem-chuan/hoc-vien-ngan-hang-phan-vien-bac-ninh-NHB.html
Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,/diem-chuan/phan-hieu-dai-hoc-nong-lam-tphcm-tai-gia-lai-NLG.html
Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,/diem-chuan/phan-hieu-dai-hoc-nong-lam-tphcm-tai-ninh-thuan-NLN.html
Học Viện Âm Nhạc Quốc Gia Việt Nam,/diem-chuan/hoc-vien-am-nhac-quoc-gia-viet-nam-NVH.html
Nhạc Viện TPHCM,/diem-chuan/nhac-vien-tphcm-NVS.html
Đại Học Dầu Khí Việt Nam,/diem-chuan/dai-hoc-dau-khi-viet-nam-PVU.html
Trường Quản Trị và Kinh Doanh - ĐH Quốc gia Hà Nội,/diem-chuan/truong-quan-tri-va-kinh-doanh-dh-quoc-gia-ha-noi-QHD.html
Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội,/diem-chuan/truong-khoa-hoc-lien-nganh-va-nghe-thuat-dai-hoc-quoc-gia-ha-noi-QHK.html
Phân hiệu Đại học Quốc gia TPHCM tại Bến Tre,/diem-chuan/phan-hieu-dai-hoc-quoc-gia-tphcm-tai-ben-tre-QSP.html
Đại Học Răng – Hàm – Mặt,/diem-chuan/dai-hoc-rang-ham-mat-RHM.html
Đại Học Quốc Tế RMIT Việt Nam,/diem-chuan/dai-hoc-quoc-te-rmit-viet-nam-RMU.html
Đại Học Quốc Tế Sài Gòn,/diem-chuan/dai-hoc-quoc-te-sai-gon-SIU.html
Đại Học Thái Bình Dương,/diem-chuan/dai-hoc-thai-binh-duong-TBD.html
Đại học Y khoa Tokyo Việt Nam,/diem-chuan/dai-hoc-y-khoa-tokyo-viet-nam-THU.html
Đại học Kiên Giang,/diem-chuan/dai-hoc-kien-giang-TKG.html
Đại Học Thủy Lợi (Cơ sở 1),/diem-chuan/dai-hoc-thuy-loi-co-so-1-TLA.html
Đại Học Thủy Lợi (Cơ sở 2),/diem-chuan/dai-hoc-thuy-loi-co-so-2-TLS.html
Đại Học Kinh Tế Tài Chính TPHCM,/diem-chuan/dai-hoc-kinh-te-tai-chinh-tphcm-UEF.html
Đại học Khánh Hòa,/diem-chuan/dai-hoc-khanh-hoa-UKH.html
Đại học Quản lý và công nghệ TPHCM,/diem-chuan/dai-hoc-quan-ly-va-cong-nghe-tphcm-UMT.html
Đại Học Việt Đức,/diem-chuan/dai-hoc-viet-duc-VGU.html
Đại học Việt Nhật - Đại học Quốc gia Hà Nội,/diem-chuan/dai-hoc-viet-nhat-dai-hoc-quoc-gia-ha-noi-VJU.html
Đại Học Võ Trường Toản,/diem-chuan/dai-hoc-vo-truong-toan-VTT.html
Phân hiệu Đại học Xây dựng miền Trung tại Đà Nẵng,/diem-chuan/phan-hieu-dai-hoc-xay-dung-mien-trung-tai-da-nang-XDN.html
Phân hiệu Đại học Y Hà Nội tại Thanh Hóa,/diem-chuan/phan-hieu-dai-hoc-y-ha-noi-tai-thanh-hoa-YHT.html
